127.0.0.1 - - [23/Dec/2025:17:21:07 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:08 +0530] "GET /QuizPortal/ HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:11 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:13 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:33 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:34 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:47 +0530] "GET /QuizPortal/admin/quizManager HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:50 +0530] "GET /QuizPortal/admin/questionList HTTP/1.1" 200 15506
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:52 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:54 +0530] "GET /QuizPortal/admin/createQuiz HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:21:55 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:22:06 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:22:19 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:22:19 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:22:33 +0530] "GET /QuizPortal/admin/quizManager HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:22:34 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:30:41 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:30:41 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:30:48 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:31:00 +0530] "POST /QuizPortal/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:31:00 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:31:04 +0530] "GET /QuizPortal/admin/quizManager HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:31:09 +0530] "GET /QuizPortal/admin/questionList HTTP/1.1" 200 15506
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:31:12 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:32:03 +0530] "GET /QuizPortal/admin/createQuiz HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:32:30 +0530] "GET /QuizPortal/admin/quizManager HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:32:40 +0530] "GET /QuizPortal/admin/questionList HTTP/1.1" 200 15506
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:32:45 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:29 +0530] "POST /QuizPortal/admin/addQuestion HTTP/1.1" 200 7234
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:33 +0530] "GET /QuizPortal/admin/questionList HTTP/1.1" 200 16462
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:38 +0530] "GET /QuizPortal/admin/quizManager HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:40 +0530] "GET /QuizPortal/admin/createQuiz HTTP/1.1" 200 7497
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:43 +0530] "GET /QuizPortal/admin/addQuestion HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:49 +0530] "GET /QuizPortal/admin/dashboard HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:52 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:33:54 +0530] "GET /QuizPortal/user/login HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:10 +0530] "POST /QuizPortal/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:10 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:13 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:18 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 200 6494
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:20 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 200 6481
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:22 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:24 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:25 +0530] "GET /QuizPortal/user/submitQuiz HTTP/1.1" 200 6301
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:28 +0530] "GET /QuizPortal/user/leaderboard?quizId=4 HTTP/1.1" 200 5575
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:31 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:34:40 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:35:13 +0530] "GET /QuizPortal/user/home.jsp HTTP/1.1" 200 5889
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:39:27 +0530] "GET /QuizPortal/admin/login HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:39:37 +0530] "GET /QuizPortal/user/login HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:39:43 +0530] "POST /QuizPortal/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:39:43 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:39:57 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:42:11 +0530] "POST /QuizPortal/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:42:11 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:01 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:26 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:26 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:27 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:30 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:31 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:31 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:31 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:31 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:37 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:37 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:38 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:38 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:56 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:56 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:56 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:56 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:43:57 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:44:49 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:44:49 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:44:49 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:44:50 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:44:50 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:46:43 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:46:43 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:46:44 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:46:44 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:47:07 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:47:07 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:48:12 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:48:12 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:48:12 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:48:26 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:49:31 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:49:31 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:49:36 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4818
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:49:36 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4818
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:51:23 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:51:23 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:51:24 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:52:05 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:52:05 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:52:10 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:53:02 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:53:02 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:08 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:08 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:09 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:25 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:25 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:26 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:26 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:26 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:31 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:32 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:54:32 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:55:49 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:55:49 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:55:49 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4932
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:56:50 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:56:50 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:56:50 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:57:21 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:57:21 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:57:21 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:58:14 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:58:15 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:58:15 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:58:15 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:04 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:05 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:05 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:16 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:17 +0530] "GET /QuizPortal/user/quizList HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:18 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6405
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:43 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:43 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:43 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6505
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:55 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:55 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:55 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [23/Dec/2025:17:59:55 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:00:28 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:00:28 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:00:28 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:00:29 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:00:29 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:04 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:04 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:05 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:05 +0530] "GET /QuizPortal/user/attemptQuiz?quizId=4 HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:12 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:34 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:47 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:56 +0530] "POST /QuizPortal/user/attemptQuiz HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2025:18:02:56 +0530] "GET /QuizPortal/user/submitQuiz HTTP/1.1" 200 6743
